Accuracy, Precision, Recall, F-Score
0.765,0.696,0.94,0.8
0.81,0.731,0.98,0.837
0.805,0.736,0.95,0.829
0.82,0.75,0.96,0.842
0.785,0.724,0.92,0.81
0.78,0.712,0.94,0.81
0.81,0.742,0.95,0.833
0.83,0.762,0.96,0.85
0.815,0.756,0.93,0.834
0.815,0.74,0.97,0.84
0.805,0.736,0.95,0.829
0.835,0.756,0.99,0.857
0.795,0.725,0.95,0.822
0.785,0.708,0.97,0.819
0.765,0.683,0.99,0.808
0.785,0.705,0.98,0.82
0.74,0.664,0.97,0.788
0.765,0.685,0.98,0.806
0.765,0.683,0.99,0.808
0.785,0.699,1.0,0.823
0.765,0.68,1.0,0.81
